group_scope,group_status,group_source_rows,pair_source_rows,scan_34_proposed,scan_35_proposed,scan_34_channels,scan_35_channels,scan_34_gf4_class,scan_35_gf4_class,scan_34_score,scan_35_score
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1176;4459,1176;4459,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,65.0,
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,2029;2452,2029;2452,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,89.44,
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,2242;2832,2242;2832,True,True,"[""CHAR_VECTOR"",""LEXICAL"",""PART_NUMBER_FAMILY"",""TECHNICAL_IDENTITY""]","[""CHAR_VECTOR"",""LEXICAL"",""PART_NUMBER_FAMILY"",""TECHNICAL_IDENTITY""]",REVIEW_SUPPORT,REVIEW_SUPPORT,80.89,80.89
scan_34_only,LIKELY_DUPLICATE_GROUP,2477;2575,2477;2575,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,STRONG_SUPPORT,,99.17,
scan_34_only,LIKELY_DUPLICATE_GROUP,2723;3351,2723;3351,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,STRONG_SUPPORT,,99.0,
scan_34_only,LIKELY_DUPLICATE_GROUP,3024;3705,3024;3705,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,STRONG_SUPPORT,,98.75,
scan_34_only,LIKELY_DUPLICATE_GROUP,4094;4474,4094;4474,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,STRONG_SUPPORT,,98.89,
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,4858;4919,4858;4919,True,True,"[""STANDARD_BLOCKING""]","[""STANDARD_BLOCKING""]",REVIEW_SUPPORT,REVIEW_SUPPORT,68.03,68.03
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,829;865,829;865,True,False,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,98.33,
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1330;5032,1330;5032,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,80.26
scan_35_only,LIKELY_DUPLICATE_GROUP,1705;1706,1705;1706,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL"",""TECHNICAL_IDENTITY""]",,STRONG_SUPPORT,,98.89
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1715;2683,1715;2683,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL"",""TECHNICAL_IDENTITY""]",,REVIEW_SUPPORT,,85.56
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1774;1780,1774;1780,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,97.5
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1807;1866,1807;1866,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,85.88
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1863;3054,1863;3054,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,88.33
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,3859;4952,3859;4952,False,True,,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL""]",,REVIEW_SUPPORT,,88.0
scan_35_only,LIKELY_DUPLICATE_GROUP,76;80,76;80,True,True,"[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL"",""TECHNICAL_IDENTITY""]","[""CHAR_VECTOR"",""EXACT_DESCRIPTION"",""LEXICAL"",""TECHNICAL_IDENTITY""]",STRONG_SUPPORT,STRONG_SUPPORT,100.0,100.0
